Popularity ,Breed,Group,Size,Price Bracket,Price low,Price high,Lifetime Cost,Lifespan,Genetic Ailments,Grooming Score,Intelligence Category,Trainability,Training Repetitions,Odedience,Children Score
114,Tibetan Spaniel,non-sporting,small,mid-price,500,2000,"25,549",14.42,0,2,Average,46,25 to 40,50,1
86,Tibetan Terrier,non-sporting,small,mid-price,450,1600,"20,336",12.31,0,2,Fair,62,40 to 80,30,2
101,Toy Fox Terrier,toy,small,budget,200,650,,,,-,,,,,-
37,Vizsla,sporting,medium,mid-price,800,1200,,12.5,0,-,Excellent,25,5 to 15,85,-
32,Weimaraner,sporting,large,budget,300,900,,,1,2,Excellent,21,5 to 15,85,1
130,Welsh Springer Spaniel,sporting,medium,mid-price,750,750,"20,224",12.49,1,2,Above average,31,15 to 25,70,1
99,Welsh Terrier,terrier,small,mid-price,575,1250,,,0,2,Average,53,25 to 40,50,1
35,West Highland White Terrier,terrier,small,budget,275,750,"20,490",12.8,3,2,Average,47,25 to 40,50,1
57,Whippet,hound,medium,mid-price,650,1200,"20,976",12.87,0,2,Average,51,25 to 40,50,2
100,Wire Fox Terrier,terrier,small,budget,175,1600,,13.17,0,-,Average,51,25 to 40,50,-
92,Wirehaired Pointing Griffon,sporting,medium,mid-price,750,800,,8.8,0,-,Average,46,25 to 40,50,-
155,Xoloitzcuintli,non-sporting,medium,mid-price,300,"2,000",,,,-,,,,,-
5,Yorkshire Terrier,toy,small,mid-price,275,2800,"20,701",12.6,4,1,Above average,27,15 to 25,70,3
